,Team,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,Rank
8,Juventus,17,20,20,20,20,20,20,20,20,19.666666666666668
11,Napoli,16,14,19,19,18,19,16,18,19,17.555555555555557
12,Roma,14,16,15,18,19,18,19,19,15,17.0
7,Inter,20,19,17,17,14,17,13,16,12,16.11111111111111
10,Milan,19,15,16,15,15,14,11,13,18,15.11111111111111
9,Lazio,15,17,13,16,16,13,18,12,14,14.88888888888889
4,Fiorentina,8,11,5,13,13,16,17,17,17,13.0
0,Atalanta,18,18,18,14,17,8,4,10,6,12.555555555555555
14,Sampdoria,12,6,12,11,11,6,14,9,7,9.777777777777779
17,Torino,4,5,14,12,12,9,12,14,5,9.666666666666666
15,Sassuolo,13,13,10,10,9,15,9,4,0,9.222222222222221
18,Udinese,7,8,9,7,8,4,5,8,16,8.0
5,Genoa,10,4,4,9,5,10,15,7,4,7.555555555555555
1,Bologna,9,9,11,6,6,7,0,2,8,6.444444444444445
2,Cagliari,5,7,6,5,10,0,3,6,10,5.777777777777778
6,Hellas Verona,11,12,0,2,0,1,8,11,0,5.0
3,Empoli,0,0,3,0,3,11,6,0,0,2.5555555555555554
16,Spezia,6,0,0,0,0,0,0,0,0,0.6666666666666666
13,Salernitana,0,0,0,0,0,0,0,0,0,0.0
19,Venezia,0,0,0,0,0,0,0,0,0,0.0
